#Run Subrun PIN RMS
#------------------
109776 157  1212 179.86
109776 158  1217 179.99
109776 159  1208 181.12
109776 160  1218 181.06
109776 161  1212 181.33
109776 162  1211 181.42
109776 163  1214 181.89
109776 164  1221 179.09
109776 165  1214 180.33
109776 166  1210 180.44
109776 167  1212 179.34
109776 168  1212 180.97
109776 169  1218 180.44
109776 170  1213 181.51
109776 171  1212 179.14
109776 172  1215 180.54
109776 173  1213 181.70
109776 174  1215 180.60
109776 175  1216 180.18
109776 176  1216 180.28
109776 177  1212 180.58
109776 178  1210 178.98
109776 179  1214 178.87
109776 180  1211 180.79
109776 181  1216 178.77
109776 182  1215 180.88
109776 183  1212 180.08
109776 184  1213 181.04
109776 185  1212 179.24
109776 186  1214 180.53
109776 187  1216 180.87
109776 188  1212 180.95
109776 189  1216 180.60
109776 190  1219 180.42
109776 191  1214 180.56
109776 192  1212 181.64
109776 193  1213 178.63
109776 194  1215 180.51
109776 195  1215 179.83
109776 196  1210 180.13
109776 197  1215 182.22
109776 198  1212 181.78
109776 199  1214 179.96
109798   0  1209 179.80
109798   1  1209 181.16
109798   2  1207 180.19
109798   3  1209 180.38
109798   4  1207 179.02
109798   5  1210 180.79
109798   6  1208 179.53
109798   7  1209 179.76
109798   8  1210 179.32
109798   9  1207 179.34
109798  10  1211 180.24
109798  11  1214 181.60
109798  12  1212 180.49
109798  13  1207 179.90
109798  14  1205 179.26
109798  15  1208 179.14
109798  16  1212 180.37
109798  17  1207 180.04
109798  18  1209 180.82
109798  19  1212 181.00
109798  20  1213 180.03
109798  21  1207 180.07
109798  22  1206 180.45
109798  23  1208 181.44
109798  24  1210 180.14
109798  25  1215 179.21
109798  26  1210 181.07
109798  27  1215 180.02
109798  28  1209 180.76
109798  29  1210 179.99
109798  30  1214 180.10
109798  31  1214 179.39
109798  32  1210 179.81
109798  33  1208 179.84
109798  34  1214 180.69
109798  35  1212 179.92
109798  36  1209 179.73
109798  37  1205 178.67
109798  38  1210 179.26
109798  39  1213 178.67
109798  40  1206 180.05
109798  41  1207 179.98
109798  42  1206 180.40
109798  43  1206 179.42
109798  44  1210 180.95
109798  45  1212 180.85
109798  46  1211 180.04
109798  47  1211 181.00
